"Year","Neighbourhood","Crimes"
2004-01-01,"Central Business District  (NBHD)",3490
2004-01-01,"Pleasant Hill  (NBHD)",3366
2004-01-01,"Riversdale  (NBHD)",2402
2004-01-01,"Confederation Suburban Centre  (NBHD)",1716
2004-01-01,"Caswell Hill  (NBHD)",1698
2004-01-01,"Mount Royal  (NBHD)",1682
2004-01-01,"Nutana  (NBHD)",1544
2004-01-01,"Meadowgreen  (NBHD)",1460
2004-01-01,"Confederation Park  (NBHD)",1456
2004-01-01,"Westmount  (NBHD)",1232
2004-01-01,"Wildwood  (NBHD)",1228
2004-01-01,"Mayfair  (NBHD)",1226
2004-01-01,"City Park  (NBHD)",1196
2004-01-01,"Varsity View  (NBHD)",1000
2004-01-01,"Massey Place  (NBHD)",904
2004-01-01,"Airport Business Area  (NBHD)",888
2004-01-01,"Sutherland  (NBHD)",814
2004-01-01,"College Park  (NBHD)",700
2004-01-01,"Brevoort Park  (NBHD)",696
2004-01-01,"Pacific Heights  (NBHD)",690
2004-01-01,"Forest Grove  (NBHD)",674
2004-01-01,"Silverwood Heights  (NBHD)",672
2004-01-01,"Fairhaven  (NBHD)",658
2004-01-01,"King George  (NBHD)",654
2004-01-01,"Kelsey - Woodlawn  (NBHD)",646
2004-01-01,"Holliston  (NBHD)",600
2004-01-01,"North Industrial  (NBHD)",600
2004-01-01,"Westview  (NBHD)",560
2004-01-01,"Dundonald  (NBHD)",552
2004-01-01,"Buena Vista  (NBHD)",550
2004-01-01,"Greystone Heights  (NBHD)",544
2004-01-01,"Exhibition  (NBHD)",524
2004-01-01,"College Park East  (NBHD)",520
2004-01-01,"Parkridge  (NBHD)",494
2004-01-01,"Haultain  (NBHD)",480
2004-01-01,"Hudson Bay Park  (NBHD)",474
2004-01-01,"Lawson Heights Suburban Centre  (NBHD)",468
2004-01-01,"Lakeview  (NBHD)",464
2004-01-01,"Central Industrial  (NBHD)",446
2004-01-01,"Nutana Suburban Centre  (NBHD)",418
2004-01-01,"Grosvenor Park  (NBHD)",384
2004-01-01,"Avalon  (NBHD)",380
2004-01-01,"Queen Elizabeth  (NBHD)",378
2004-01-01,"North Park  (NBHD)",374
2004-01-01,"River Heights  (NBHD)",368
2004-01-01,"Hudson Bay Industrial  (NBHD)",366
2004-01-01,"Lawson Heights  (NBHD)",366
2004-01-01,"Adelaide/Churchill  (NBHD)",334
2004-01-01,"Eastview  (NBHD)",328
2004-01-01,"Montgomery Place  (NBHD)",308
2004-01-01,"U of S Lands - South Mgmt Area  (NBHD)",274
2004-01-01,"Erindale  (NBHD)",266
2004-01-01,"Holiday Park  (NBHD)",260
2004-01-01,"Nutana Park  (NBHD)",258
2004-01-01,"Sutherland Industrial  (NBHD)",210
2004-01-01,"West Industrial  (NBHD)",178
2004-01-01,"Agriplace  (NBHD)",166
2004-01-01,"Lakeridge  (NBHD)",160
2004-01-01,"Arbor Creek  (NBHD)",158
2004-01-01,"Silverspring  (NBHD)",136
2004-01-01,"South West Industrial  (NBHD)",124
2004-01-01,"Briarwood  (NBHD)",116
2004-01-01,"University Heights Suburban Centre  (NBHD)",116
2004-01-01,"Richmond Heights  (NBHD)",100
2004-01-01,"Marquis Industrial  (NBHD)",80
2004-01-01,"CN Industrial  (NBHD)",64
2004-01-01,"U of S Lands - North Mgmt Area  (NBHD)",34
2004-01-01,"Lakewood Suburban Centre  (NBHD)",30
2004-01-01,"Airport Mgmt Area  (NBHD)",20
